Prefix	Path	Method	Controller	Function
/analytics	/models-stats/	GET	Analytics	get_models_stats
/analytics	/prompts-stats/	GET	Analytics	get_prompts_stats
/articles	/	GET	Articles	get_list
/articles	/	POST	Articles	upload_article
/articles	/{article_id}/	GET	Articles	get_article
/articles	/{article_id}/	PUT	Articles	update_article
/articles	/{article_id}/	DELETE	Articles	delete_article
/articles	/{article_id}/like/	PATCH	Articles	update_like
/auth	/confirm-email/request/	POST	Auth	request_email_confirmation
/auth	/login/	POST	Auth	login
/auth	/logout/	GET	Auth	logout
/auth	/refresh/	POST	Auth	refresh_tokens
/auth	/register/	POST	Auth	register
/auth	/registration/confirm/	POST	Auth	confirm_email
/auth	/restore-password/confirm/	PATCH	Auth	restore_password
/auth	/restore-password/request/	POST	Auth	request_password_restoration_code
/configs	/	GET	Configs	get_configs
/configs	/	POST	Configs	create_config
/configs	/{config_id}/	PUT	Configs	update_config
/configs	/{config_id}/	DELETE	Configs	delete_config
/languages	/	GET	Languages	get_languages
/models	/	GET	Models	get_models
/models	/	POST	Models	create_model
/models	/admin/	GET	Models	get_admin_models
/models	/{model_id}/	PUT	Models	update_model
/models	/{model_id}/	DELETE	Models	delete_model
/notifications	/	GET	Notifications	get_notifications_list
/notifications	/	WEBSOCKET	Notifications	get_notifications
/notifications	/	PUT	Notifications	mark_notifications_read
/oauth	/login/	GET	OAuth	redirect_to_provider
/oauth	/{provider}/callback	GET	OAuth	callback
/prompts	/	GET	Prompts	get_admin_prompts
/prompts	/	POST	Prompts	create_prompt
/prompts	/public/	GET	Prompts	get_prompts
/prompts	/{prompt_id}/	PUT	Prompts	update_prompt
/prompts	/{prompt_id}/	DELETE	Prompts	delete_prompt
Нет	/articles/{article_id}/report/	GET	Reports	get_article_report
Нет	/articles/{article_id}/report/	POST	Reports	create_report
Нет	/articles/{article_id}/report/	PUT	Reports	update_report
Нет	/articles/{article_id}/report/comments/	GET	Reports	get_comments
Нет	/articles/{article_id}/report/comments/	POST	Reports	create_comment
Нет	/articles/{article_id}/report/comments/ws/	WEBSOCKET	Reports	watch_for_comments
Нет	/articles/{article_id}/report/status/	PATCH	Reports	update_report_status
Нет	/report-reasons/	GET	Reports	get_report_reasons
Нет	/reports/	GET	Reports	get_reports
/sessions	/	GET	Sessions	get_sessions
/sessions	/close/	POST	Sessions	close_sessions
/translation	/	POST	Translation	create_translation
/users	/	GET	Users	get_list
/users	/	POST	Users	create_user
/users	/me/	GET	Users	get_my_info
/users	/{user_id}/	PUT	Users	update_user
/users	/{user_id}/	DELETE	Users	delete_user
/users	/{user_id}/name/	PATCH	Users	change_name
